id,Total Pop Enrolled,Percent Total Pop Enrolled,Margin Total Pop,County,State
0500000US26099,133867,68.6,2071,Macomb County, Michigan
0500000US26103,9083,50.4,606,Marquette County, Michigan
0500000US26111,13311,67.9,694,Midland County, Michigan
0500000US26115,23937,73.0,1092,Monroe County, Michigan
0500000US26121,29548,77.7,1002,Muskegon County, Michigan
0500000US26125,194620,67.2,2500,Oakland County, Michigan
0500000US26139,50291,59.8,1319,Ottawa County, Michigan
0500000US26145,31182,68.4,1168,Saginaw County, Michigan
0500000US26147,24742,76.1,819,St. Clair County, Michigan
0500000US26155,11021,79.4,532,Shiawassee County, Michigan
0500000US26159,12451,75.8,788,Van Buren County, Michigan
0500000US26161,49976,40.1,1258,Washtenaw County, Michigan
0500000US26163,302085,70.5,2823,Wayne County, Michigan
0500000US27003,62298,71.8,1368,Anoka County, Minnesota
0500000US27013,9012,42.0,623,Blue Earth County, Minnesota
0500000US27019,21632,76.4,843,Carver County, Minnesota
0500000US27037,76337,71.8,1486,Dakota County, Minnesota
0500000US27053,193984,61.6,2676,Hennepin County, Minnesota
0500000US27109,27385,67.3,804,Olmsted County, Minnesota
0500000US27123,89659,62.3,1523,Ramsey County, Minnesota
0500000US27131,11729,56.7,575,Rice County, Minnesota
0500000US27137,26959,54.6,1092,St. Louis County, Minnesota
0500000US27139,29969,73.8,835,Scott County, Minnesota
0500000US27141,17286,68.2,1135,Sherburne County, Minnesota
0500000US27145,26746,55.0,735,Stearns County, Minnesota
0500000US27163,49208,72.9,1097,Washington County, Minnesota
0500000US27171,27714,78.6,1039,Wright County, Minnesota
0500000US28033,36218,74.2,1218,DeSoto County, Mississippi
0500000US28035,12173,52.3,831,Forrest County, Mississippi
0500000US28047,34631,71.3,1476,Harrison County, Mississippi
0500000US28049,41722,60.5,1694,Hinds County, Mississippi
0500000US28059,28101,77.7,1080,Jackson County, Mississippi
0500000US28067,11303,70.9,1245,Jones County, Mississippi
0500000US28075,13131,73.8,819,Lauderdale County, Mississippi
0500000US28081,15109,79.6,781,Lee County, Mississippi
0500000US28089,19917,67.1,1004,Madison County, Mississippi
0500000US28121,26870,70.4,761,Rankin County, Mississippi
0500000US29019,24712,38.7,1321,Boone County, Missouri
0500000US29021,14129,74.0,864,Buchanan County, Missouri
0500000US29031,11971,55.1,873,Cape Girardeau County, Missouri
0500000US29037,19783,81.0,819,Cass County, Missouri
0500000US29043,17261,74.8,947,Christian County, Missouri
0500000US29047,44146,75.1,1304,Clay County, Missouri
0500000US29051,12797,71.9,684,Cole County, Missouri
0500000US29071,17009,70.4,850,Franklin County, Missouri
0500000US29077,40198,50.4,1997,Greene County, Missouri
0500000US29095,116823,69.0,1929,Jackson County, Missouri
0500000US29097,21733,74.1,852,Jasper County, Missouri
0500000US29099,38252,70.9,1194,Jefferson County, Missouri
0500000US29165,18036,70.3,998,Platte County, Missouri
0500000US29183,68657,67.6,1350,St. Charles County, Missouri
0500000US29187,11078,80.7,555,St. Francois County, Missouri
0500000US29189,161386,66.9,2775,St. Louis County, Missouri
0500000US29510,37668,58.5,1431,St. Louis city, Missouri
0500000US30013,12186,74.7,958,Cascade County, Montana
0500000US30029,16010,82.2,893,Flathead County, Montana
0500000US30031,16942,50.9,1022,Gallatin County, Montana
0500000US30049,10542,74.4,854,Lewis and Clark County, Montana
0500000US30063,15093,50.4,1111,Missoula County, Montana
0500000US30111,26799,73.0,1171,Yellowstone County, Montana
0500000US31055,101337,65.7,1482,Douglas County, Nebraska
0500000US31109,51544,53.1,988,Lancaster County, Nebraska
0500000US31153,37354,72.4,987,Sarpy County, Nebraska
0500000US32003,378415,72.6,3436,Clark County, Nevada
0500000US32031,72659,66.3,1942,Washoe County, Nevada
0500000US33005,10679,56.2,763,Cheshire County, New Hampshire
0500000US33009,10448,49.1,680,Grafton County, New Hampshire
0500000US33011,64651,68.8,1658,Hillsborough County, New Hampshire
0500000US33013,22072,62.8,851,Merrimack County, New Hampshire
0500000US33015,46789,72.4,1342,Rockingham County, New Hampshire
0500000US33017,17181,47.9,1124,Strafford County, New Hampshire
0500000US34001,41573,65.0,978,Atlantic County, New Jersey
0500000US34003,150923,66.7,2558,Bergen County, New Jersey
0500000US34005,69473,66.9,1573,Burlington County, New Jersey
0500000US34007,84313,66.0,1258,Camden County, New Jersey
0500000US34009,11114,71.3,1137,Cape May County, New Jersey
0500000US34011,27220,73.6,1219,Cumberland County, New Jersey
0500000US34013,137069,65.7,2173,Essex County, New Jersey
0500000US34015,48503,64.5,1211,Gloucester County, New Jersey
0500000US34017,91095,61.1,1928,Hudson County, New Jersey
0500000US34019,20164,71.7,883,Hunterdon County, New Jersey
0500000US34021,57883,61.5,1075,Mercer County, New Jersey
0500000US34023,130757,60.1,1861,Middlesex County, New Jersey
0500000US34025,103124,69.7,1464,Monmouth County, New Jersey
0500000US34027,81991,66.1,1148,Morris County, New Jersey
0500000US34029,103578,70.9,2221,Ocean County, New Jersey
0500000US34031,88989,69.6,1512,Passaic County, New Jersey
0500000US34033,10422,72.3,750,Salem County, New Jersey
0500000US34035,57176,64.6,1337,Somerset County, New Jersey
0500000US34037,21843,67.6,640,Sussex County, New Jersey
0500000US34039,95250,67.7,2071,Union County, New Jersey
0500000US34041,16715,67.1,591,Warren County, New Jersey
0500000US35001,106506,63.2,2648,Bernalillo County, New Mexico
0500000US35005,12754,76.0,512,Chaves County, New Mexico
0500000US35013,39851,61.8,1155,Doña Ana County, New Mexico
0500000US35025,15423,80.2,781,Lea County, New Mexico
0500000US35031,15941,79.3,786,McKinley County, New Mexico
0500000US35035,12988,76.4,1342,Otero County, New Mexico
0500000US35043,26149,73.1,790,Sandoval County, New Mexico
0500000US35045,23920,74.1,1035,San Juan County, New Mexico
0500000US35049,21704,71.3,925,Santa Fe County, New Mexico
0500000US35061,13619,70.6,1287,Valencia County, New Mexico
0500000US36001,42944,52.7,1917,Albany County, New York
0500000US36005,261984,66.6,4142,Bronx County, New York
0500000US36007,27382,56.2,1011,Broome County, New York
0500000US36009,12148,69.4,574,Cattaraugus County, New York
0500000US36011,11129,72.6,564,Cayuga County, New York
0500000US36013,18499,65.9,948,Chautauqua County, New York
0500000US36015,12297,74.0,663,Chemung County, New York
0500000US36019,10820,64.0,396,Clinton County, New York
0500000US36027,42505,60.3,1219,Dutchess County, New York
0500000US36029,136160,63.3,1970,Erie County, New York
0500000US36045,18635,73.9,796,Jefferson County, New York
0500000US36047,414984,65.8,3629,Kings County, New York
0500000US36051,8412,48.3,592,Livingston County, New York
0500000US36053,10220,58.8,542,Madison County, New York
0500000US36055,113849,61.1,1678,Monroe County, New York
0500000US36059,216148,64.3,2816,Nassau County, New York
0500000US36061,159880,50.0,2794,New York County, New York
0500000US36063,31006,69.5,1277,Niagara County, New York
0500000US36065,35466,67.6,1234,Oneida County, New York
0500000US36067,70544,60.7,1510,Onondaga County, New York
0500000US36069,17397,62.9,558,Ontario County, New York
0500000US36071,72967,68.8,1992,Orange County, New York
0500000US36075,18005,63.8,798,Oswego County, New York
0500000US36079,15373,64.4,582,Putnam County, New York
0500000US36081,320527,62.3,2885,Queens County, New York
0500000US36083,22862,58.7,882,Rensselaer County, New York
0500000US36085,74862,67.0,1578,Richmond County, New York
0500000US36087,68592,71.8,1414,Rockland County, New York
0500000US36089,15913,52.9,1004,St. Lawrence County, New York
0500000US36091,34461,68.6,1227,Saratoga County, New York
0500000US36093,25326,68.7,1042,Schenectady County, New York
0500000US36101,15069,76.5,485,Steuben County, New York
0500000US36103,233803,64.8,2811,Suffolk County, New York
0500000US36105,11667,71.3,627,Sullivan County, New York
0500000US36109,10866,26.8,758,Tompkins County, New York
0500000US36111,23841,60.8,906,Ulster County, New York
0500000US36113,8606,70.9,563,Warren County, New York
0500000US36117,14346,73.2,821,Wayne County, New York
0500000US36119,161403,65.8,2128,Westchester County, New York
0500000US37001,28196,69.7,1100,Alamance County, North Carolina
0500000US37019,15473,71.2,1328,Brunswick County, North Carolina
0500000US37021,33857,65.5,1156,Buncombe County, North Carolina
0500000US37023,13543,76.9,737,Burke County, North Carolina
0500000US37025,41530,69.8,1289,Cabarrus County, North Carolina
0500000US37027,11374,72.9,949,Caldwell County, North Carolina
0500000US37031,8906,68.7,838,Carteret County, North Carolina
0500000US37035,26595,70.2,1027,Catawba County, North Carolina
0500000US37037,10874,75.5,1037,Chatham County, North Carolina
