id,pop_total,county,state,pop_class
0500000US13173,9877,Lanier County,Georgia,Rural Area
0500000US13175,49570,Laurens County,Georgia,Micro Area
0500000US13177,33163,Lee County,Georgia,Micro Area
0500000US13179,65256,Liberty County,Georgia,Small Metro Area
0500000US13181,7690,Lincoln County,Georgia,Rural Area
0500000US13183,16168,Long County,Georgia,Micro Area
0500000US13185,118251,Lowndes County,Georgia,Small Metro Area
0500000US13187,33488,Lumpkin County,Georgia,Micro Area
0500000US13189,21632,McDuffie County,Georgia,Micro Area
0500000US13191,10975,McIntosh County,Georgia,Micro Area
0500000US13193,12082,Macon County,Georgia,Micro Area
0500000US13195,30120,Madison County,Georgia,Micro Area
0500000US13197,7498,Marion County,Georgia,Rural Area
0500000US13199,20613,Meriwether County,Georgia,Micro Area
0500000US13201,6000,Miller County,Georgia,Rural Area
0500000US13205,21755,Mitchell County,Georgia,Micro Area
0500000US13207,27957,Monroe County,Georgia,Micro Area
0500000US13209,8610,Montgomery County,Georgia,Rural Area
0500000US13211,20097,Morgan County,Georgia,Micro Area
0500000US13213,39973,Murray County,Georgia,Micro Area
0500000US13215,206922,Muscogee County,Georgia,Small Metro Area
0500000US13217,112483,Newton County,Georgia,Small Metro Area
