id,pop_total,county,state,pop_class,year,broadband_pct,total_pop_enrolled,percent_total_pop_enrolled,margin_total_pop,geo_id_x,est_total_households,est_med_income_households,est_total_families,est_med_income_families,geo_id_y,est_total_pop_16_over,est_emp_pop_ratio_16_over,est_unemp_pop_ratio_16_over,geo_id_x,total_one_device,total_multi_device,total_without_device,total_households_org,geo_id_y,total_with_subs_org,total_without_subs_org,total_cellular_subs,total_with_cell_sub_only,total_subs,total_without_subs,total_subs_w_cell
0500000US04025,236209.0,Yavapai County,Arizona,Small Metro Area,2018.0,0.801,28288.0,68.9,1294.0,0500000US04025,100836.0,48148.0,60140.0,61041.0,0500000US04025,198754.0,44.1,7.3,0500000US04025,91975.0,67834.0,29825.0,198754.0,0500000US04025,181776.0,24335.0,,,0.0,24335.0,0.0
0500000US04027,203881.0,Yuma County,Arizona,Small Metro Area,2018.0,0.76300001,39050.0,72.0,1339.0,0500000US04027,74532.0,43403.0,57564.0,49190.0,0500000US04027,164347.0,46.5,7.6,0500000US04027,67154.0,65004.0,20281.0,164347.0,0500000US04027,143703.0,98453.0,,,7217.0,98453.0,7217.0
0500000US05001,17149.0,Arkansas County,Arkansas,Micro Area,2018.0,0.62799996,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05003,19062.0,Ashley County,Arkansas,Micro Area,2018.0,0.60500002,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05005,41627.0,Baxter County,Arkansas,Micro Area,2018.0,0.708,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05007,284333.0,Benton County,Arkansas,Medium Metro Area,2018.0,0.648,51698.0,77.7,788.0,0500000US05007,100128.0,67164.0,72344.0,80637.0,0500000US05007,208879.0,65.4,2.7,0500000US05007,93032.0,85622.0,16009.0,208879.0,0500000US05007,184426.0,,,,0.0,0.0,0.0
0500000US05009,37373.0,Boone County,Arkansas,Micro Area,2018.0,0.77700001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05011,10545.0,Bradley County,Arkansas,Micro Area,2018.0,0.62799996,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05013,4739.0,Calhoun County,Arkansas,Rural Area,2018.0,0.59200001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05015,28260.0,Carroll County,Arkansas,Micro Area,2018.0,0.65700001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05017,10208.0,Chicot County,Arkansas,Micro Area,2018.0,0.60699999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05019,21446.0,Clark County,Arkansas,Micro Area,2018.0,0.67199999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05021,14552.0,Clay County,Arkansas,Micro Area,2018.0,0.63599998,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05023,24711.0,Cleburne County,Arkansas,Micro Area,2018.0,0.71100003,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05025,7550.0,Cleveland County,Arkansas,Rural Area,2018.0,0.55399996,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05027,22801.0,Columbia County,Arkansas,Micro Area,2018.0,0.59600002,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05029,20715.0,Conway County,Arkansas,Micro Area,2018.0,0.60600001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05031,111231.0,Craighead County,Arkansas,Small Metro Area,2018.0,0.78899997,18856.0,61.1,946.0,0500000US05031,42631.0,44810.0,26748.0,56383.0,0500000US05031,84075.0,59.0,5.9,0500000US05031,36121.0,34726.0,6307.0,84075.0,0500000US05031,68825.0,,,,0.0,0.0,0.0
0500000US05033,60133.0,Crawford County,Arkansas,Small Metro Area,2018.0,0.70300001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05035,48163.0,Crittenden County,Arkansas,Micro Area,2018.0,0.71499997,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05037,16833.0,Cross County,Arkansas,Micro Area,2018.0,0.66100001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05039,6482.0,Dallas County,Arkansas,Rural Area,2018.0,0.579,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05041,11395.0,Desha County,Arkansas,Micro Area,2018.0,0.49100003,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05043,17350.0,Drew County,Arkansas,Micro Area,2018.0,0.66999996,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05045,123498.0,Faulkner County,Arkansas,Small Metro Area,2018.0,0.76499999,19347.0,55.5,1015.0,0500000US05045,43701.0,51437.0,27357.0,71916.0,0500000US05045,99063.0,58.5,3.3,0500000US05045,41108.0,43937.0,5805.0,99063.0,0500000US05045,82512.0,,,,0.0,0.0,0.0
0500000US05047,17097.0,Franklin County,Arkansas,Micro Area,2018.0,0.60699999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US05049,12075.0,Fulton County,Arkansas,Micro Area,2018.0,0.583,,,,,,,,,,,,,,,,,,,,,,,,,
